MedleyID	HasImages	HasTables	NoOfTableRows	AverageDepthOfTree	WordCount	AverageSentenceLength	ContentWordCount	ContentWordCountNoStopwords	ContentWordIncidence	NounCount	NounIncidence	VerbCount	VerbIncidence	AdjectiveCount	AdjectiveIncidence	AdverbCount	AdverbIncidence	NumberCount	NumberIncidence	ReferentialPronounCount	TypeTokenRatio	CommaIndex	ComplexWordCount	AverageNoWordsBeforeMainVb	AverageWordLengthInSyllables	NegationCount	AgentlessPassiveCount	AverageSenseNoContentWords	AverageSenseNoNouns	AverageSenseNoVerbs	AverageSenseNoAdjectives	AverageSenseNoAdverbs	PolysemicWordIndex	AverageNounDistanceToWNRoot	AverageVerbDistanceToWNRoot	AverageNounAndVerbDistanceToWNRoot	AnswerWordsInWordNetRatio	SMOG	SMOGIndex	FleschReadingEase	FleschKincaidGradeLevel	AutomatedReadabilityIndex	GunningFog	ColemanLiau	AverageWordFrequencyAbs	AverageWordFrequencyRel	AverageWordFrequencyRank	AverageContentFrequencyAbs	AverageContentFrequencyRel	AverageContentFrequencyRank	Imagability	ImagabilityFoundOnly	ImagabilityRatio	Familiarity	FamiliarityFoundOnly	FamiliarityRatio	Concreteness	ConcretenessFoundOnly	ConcretenessRatio	AgeOfAcquisition	AgeOfAcquisitionFoundOnly	AgeOfAcquisitionRatio	MeaningfulnessColoradoFoundOnly	MeaningfulnessPavioFoundOnly	ConnectivesCount	TemporalConnectivesCount	CausalConnectivesCount	AdditiveConnectivesCount	
T16Q3	0	0	0	11.89	161.00	17.89	105.00	99.00	652.17	50.00	310.56	31.00	192.55	20.00	124.22	4.00	24.84	1.00	6.21	5.00	0.64	0.03	20.00	3.56	1.64	1.00	0.00	5.39	4.08	10.16	0.85	7.50	0.40	5.85	1.83	4.31	0.00	11.65	11.16	49.95	10.74	11.42	11.60	13.09	683702.40	110.50	992.11	199161.20	32.19	1338.41	276.04	426.24	18770.59	356.23	550.06	24223.54	220.17	385.30	13210.29	5.47	6.25	503.42	419.21	629.55	19.00	3.00	7.00	10.00	
T17Q1	0	0	0	8.00	135.00	9.00	83.00	81.00	614.81	42.00	311.11	27.00	200.00	12.00	88.89	2.00	14.81	5.00	37.04	5.00	0.60	0.03	13.00	0.60	1.44	0.00	0.00	7.80	3.81	17.19	1.67	1.50	0.40	6.36	1.82	4.59	1.00	8.45	8.10	75.50	4.96	4.77	7.20	8.34	437166.48	70.66	1232.87	162478.71	26.26	1638.98	314.55	466.21	17615.04	394.13	584.16	22071.42	281.76	433.07	15214.99	5.12	5.67	384.31	445.84	623.69	14.00	1.00	3.00	8.00	
T17Q2	0	0	0	8.00	136.00	8.50	83.00	81.00	610.29	43.00	316.18	27.00	198.53	10.00	73.53	3.00	22.06	5.00	36.76	7.00	0.59	0.03	12.00	1.56	1.38	0.00	0.00	7.12	3.98	14.70	1.80	1.67	0.42	6.34	1.88	4.62	1.00	8.08	7.74	81.26	4.04	4.40	6.40	8.18	412542.74	66.68	1329.40	141088.96	22.80	1687.27	336.22	489.58	19164.36	401.11	584.07	22863.18	299.87	452.53	16492.71	5.04	5.57	377.73	460.82	623.69	14.00	1.00	1.00	7.00	
T17Q3	0	0	0	7.50	144.00	9.00	86.00	84.00	597.22	46.00	319.44	25.00	173.61	12.00	83.33	3.00	20.83	5.00	34.72	5.00	0.63	0.03	13.00	0.56	1.40	0.00	0.00	7.10	3.70	16.36	2.33	1.33	0.40	6.27	1.85	4.71	0.92	8.28	7.94	79.03	4.47	4.69	7.20	8.24	484829.17	78.36	1233.83	93945.63	15.18	1604.20	307.78	472.66	17235.63	380.10	583.73	21285.86	269.78	446.17	14028.51	5.03	5.69	382.03	450.28	634.17	14.00	1.00	2.00	7.00	
T1Q1	0	0	0	8.06	189.00	11.81	116.00	107.00	613.76	62.00	328.04	39.00	206.35	9.00	47.62	6.00	31.75	10.00	52.91	0.00	0.63	0.06	16.00	5.13	1.40	3.00	0.00	9.27	5.48	18.08	1.11	3.33	0.52	6.92	1.70	4.90	1.00	8.84	8.48	76.67	5.50	6.06	7.60	9.19	586243.87	94.75	1025.06	241304.26	39.00	1464.60	303.75	435.00	24603.75	399.72	572.43	32376.96	282.53	409.66	22602.07	5.19	5.47	570.84	430.80	666.31	24.00	7.00	5.00	13.00	
T1Q2	0	0	0	9.00	187.00	12.47	115.00	107.00	614.97	63.00	336.90	38.00	203.21	9.00	48.13	5.00	26.74	7.00	37.43	0.00	0.62	0.06	17.00	4.80	1.40	2.00	0.00	9.25	5.46	18.16	1.22	3.80	0.53	7.00	1.65	4.99	1.00	9.21	8.83	75.65	5.80	6.49	8.40	9.32	581005.74	93.90	1119.76	266650.74	43.10	1608.28	302.32	434.59	24185.74	397.60	571.55	31808.00	280.90	408.90	22190.76	5.28	5.52	580.67	431.26	650.17	24.00	6.00	6.00	15.00	
T1Q3	0	0	0	8.00	194.00	12.93	118.00	110.00	608.25	63.00	324.74	40.00	206.19	9.00	46.39	6.00	30.93	7.00	36.08	0.00	0.60	0.06	18.00	4.53	1.39	2.00	0.00	9.78	5.49	19.35	1.22	3.83	0.53	7.00	1.65	4.92	1.00	9.39	9.00	75.97	5.88	6.55	8.40	9.10	569486.29	92.04	1137.59	260957.40	42.18	1601.15	314.09	436.04	26697.92	412.50	572.65	35062.50	290.68	408.33	24416.95	5.27	5.51	595.77	434.09	655.29	26.00	7.00	6.00	15.00	
T2Q1	0	0	0	8.00	210.00	11.67	129.00	121.00	614.29	77.00	366.67	28.00	133.33	17.00	80.95	7.00	33.33	1.00	4.76	7.00	0.56	0.05	16.00	3.83	1.40	1.00	0.00	5.46	4.23	11.57	1.94	3.00	0.51	6.61	1.85	5.34	1.00	8.52	8.16	76.15	5.54	4.97	7.20	7.92	849007.55	137.22	969.17	248700.86	40.20	1211.47	346.88	461.31	33646.97	408.34	543.05	39609.09	318.28	456.20	28645.12	5.97	6.37	722.72	434.69	689.48	28.00	4.00	10.00	19.00	
T2Q2	0	0	0	7.78	189.00	10.50	118.00	110.00	624.34	67.00	354.50	29.00	153.44	15.00	79.37	7.00	37.04	1.00	5.29	7.00	0.62	0.05	14.00	4.06	1.41	1.00	0.00	6.03	4.25	12.86	2.13	3.00	0.52	6.69	1.84	5.22	1.00	8.17	7.83	77.11	5.11	4.45	6.80	8.00	754631.78	121.97	954.08	270683.47	43.75	1162.29	345.24	457.73	30726.12	412.56	546.99	36717.78	319.69	449.08	26853.66	5.85	6.27	643.24	428.08	689.84	27.00	4.00	9.00	19.00	
T2Q3	0	0	0	8.11	196.00	10.89	120.00	113.00	612.24	70.00	357.14	28.00	142.86	15.00	76.53	7.00	35.71	1.00	5.10	8.00	0.60	0.05	15.00	3.83	1.41	1.00	0.00	5.61	4.33	11.32	2.13	3.00	0.51	6.60	1.83	5.24	1.00	8.34	8.00	76.65	5.27	4.61	6.80	7.95	800612.44	129.40	956.13	231376.43	37.40	1181.65	341.38	460.29	30383.12	403.42	543.93	35904.08	313.34	453.02	26007.36	5.94	6.36	665.15	429.77	682.11	29.00	4.00	10.00	20.00	
T3Q1	0	0	0	10.64	212.00	15.14	129.00	114.00	608.49	54.00	254.72	54.00	254.72	11.00	51.89	10.00	47.17	3.00	14.15	11.00	0.52	0.02	36.00	2.21	1.58	3.00	0.00	7.58	4.20	12.87	1.91	3.50	0.47	5.74	1.70	3.72	1.00	12.29	11.78	57.38	9.02	8.05	12.40	10.59	813211.38	131.43	863.89	455930.26	73.69	1138.56	286.35	410.43	25771.40	407.74	584.42	36696.28	259.98	404.06	21578.07	5.22	5.71	616.25	425.66	663.25	23.00	9.00	3.00	6.00	
T3Q2	0	0	0	10.50	222.00	15.86	136.00	121.00	612.61	56.00	252.25	57.00	256.76	14.00	63.06	9.00	40.54	3.00	13.51	11.00	0.50	0.02	37.00	2.36	1.57	3.00	0.00	7.71	4.75	12.91	1.64	2.67	0.47	5.86	1.67	3.75	0.95	12.42	11.90	58.12	9.09	8.33	12.40	10.50	833978.29	134.79	925.31	433489.10	70.06	1241.17	298.66	418.74	28970.19	416.29	583.67	40380.53	272.92	412.41	24562.72	5.19	5.60	653.82	433.15	653.25	25.00	11.00	4.00	6.00	
T3Q3	0	0	0	10.71	239.00	17.07	145.00	126.00	606.69	59.00	246.86	63.00	263.60	11.00	46.03	12.00	50.21	3.00	12.55	12.00	0.47	0.03	35.00	2.29	1.53	5.00	0.00	8.35	4.95	13.83	1.91	2.25	0.48	5.76	1.68	3.65	1.00	12.16	11.66	60.31	9.09	8.45	12.40	9.89	893067.69	144.34	901.26	472864.13	76.43	1235.37	312.96	424.10	33486.57	431.16	584.28	46133.97	290.61	417.21	29351.30	5.05	5.38	686.70	430.80	652.67	26.00	11.00	4.00	5.00	
T4Q1	0	0	0	9.33	142.00	15.78	89.00	82.00	626.76	33.00	232.39	22.00	154.93	26.00	183.10	8.00	56.34	1.00	7.04	4.00	0.45	0.04	30.00	3.44	1.58	0.00	0.00	4.57	3.45	10.82	1.12	3.25	0.46	6.38	1.61	4.47	0.75	13.56	13.00	56.77	9.26	9.94	14.40	12.57	911527.20	147.32	955.46	348924.64	56.39	1032.42	321.31	439.95	20885.45	404.01	553.18	26260.73	280.17	395.79	17650.62	5.74	6.55	447.55	424.27	656.82	17.00	4.00	4.00	8.00	
T4Q2	0	0	0	10.22	160.00	17.78	105.00	95.00	656.25	36.00	225.00	28.00	175.00	31.00	193.75	10.00	62.50	1.00	6.25	4.00	0.44	0.03	32.00	2.22	1.59	0.00	0.00	4.42	3.28	10.07	1.13	2.90	0.48	6.78	1.62	4.52	0.89	13.90	13.33	54.49	10.08	11.24	14.80	12.94	906649.24	146.53	897.74	378201.97	61.13	983.59	317.27	438.33	24112.27	400.55	553.39	30441.98	278.48	400.55	20328.76	5.97	6.59	566.79	424.50	658.08	16.00	3.00	5.00	8.00	
T4Q3	0	0	0	9.78	142.00	15.78	89.00	82.00	626.76	33.00	232.39	24.00	169.01	25.00	176.06	7.00	49.30	1.00	7.04	4.00	0.53	0.04	30.00	3.00	1.61	0.00	0.00	4.76	3.73	10.33	1.20	3.29	0.47	6.65	1.52	4.49	1.00	13.56	13.00	54.39	9.59	10.24	14.40	12.94	905623.49	146.37	1010.35	349252.46	56.45	1160.07	296.52	432.62	18087.53	379.53	553.74	23151.21	259.82	391.93	15329.39	6.03	6.62	488.21	422.92	639.78	16.00	3.00	4.00	8.00	
